155.510554545-21.552736364i	152.642211111-14.412669697i	148.775869697-11.514893939i	146.265493939-6.667896970i	144.790617172-5.223970707i	144.052661616-4.208788889i	143.653052525-3.450532323i	143.105034343-2.906664646i	142.815730303-2.403395960i	142.487761616-1.985413131i	142.095222222-1.634124242i	141.806483838-1.314442424i	141.555227273-1.085776768i	141.334005051-0.816437374i	141.108733333-0.534508081i
153.243174747-21.795466667i	150.353695960-14.448397980i	146.527926263-11.539092929i	143.990659596-6.628083838i	142.587538384-5.210981818i	141.873813131-4.171538384i	141.452764646-3.445417172i	140.893215152-2.908047475i	140.598379798-2.371354545i	140.266036364-2.001078788i	139.889421212-1.643068687i	139.619093939-1.339388889i	139.344027273-1.052326263i	139.127032323-0.838031313i	138.907596970-0.478163636i
151.225958586-21.497588889i	148.418002020-14.384458586i	144.552928283-11.481073737i	142.052041414-6.636621212i	140.591980808-5.202306061i	139.893657576-4.188878788i	139.501891919-3.466556566i	138.934156566-2.894702020i	138.644505051-2.376654545i	138.297087879-1.967577778i	137.888363636-1.652350505i	137.646977778-1.324443434i	137.383696970-1.055703030i	137.162513131-0.826927273i	136.925734343-0.476785859i
149.447830303-21.567069697i	146.633083838-14.399444444i	142.770667677-11.473241414i	140.253681818-6.635886869i	138.827721212-5.192706061i	138.124821212-4.150048485i	137.744617172-3.427142424i	137.180459596-2.915156566i	136.880510101-2.400091919i	136.532179798-1.957502020i	136.104921212-1.606007071i	135.879328283-1.310139394i	135.639850505-1.058104040i	135.387430303-0.798940404i	135.194609091-0.477820202i
147.665782828-21.634042424i	144.810959596-14.418205051i	140.971233333-11.454637374i	138.468208081-6.634012121i	137.046915152-5.179024242i	136.359125253-4.175666667i	135.953119192-3.429342424i	135.396986869-2.872619192i	135.078661616-2.386530303i	134.731873737-1.964934343i	134.392523232-1.606131313i	134.113582828-1.324330303i	133.864923232-1.048327273i	133.635732323-0.823237374i	133.420432323-0.486766667i
218.776613131-23.050375758i	214.971927273-16.050252525i	210.764601010-13.001043434i	207.226391919-7.898769697i	205.536496970-6.292037374i	204.538414141-5.111575758i	203.986444444-4.197173737i	203.253097980-3.536778788i	202.872529293-2.915572727i	202.495888889-2.437554545i	202.023643434-1.976269697i	201.693035354-1.642701010i	201.347423232-1.373386869i	201.000928283-1.094084848i	200.732349495-0.680455556i
202.788425253-22.226770707i	199.421684848-15.316582828i	195.255989899-12.409937374i	192.101184848-7.429258586i	190.455256566-5.872510101i	189.601336364-4.734402020i	189.068800000-3.906060606i	188.434022222-3.295823232i	188.080482828-2.735108081i	187.692557576-2.276009091i	187.299376768-1.887557576i	186.950651515-1.575506061i	186.628926263-1.293750505i	186.309916162-0.987579798i	186.071733333-0.634714141i
192.086694949-22.243916162i	188.801712121-15.127585859i	184.768149495-12.235686869i	181.810652525-7.169938384i	180.274294949-5.680619192i	179.443832323-4.568104040i	178.979594949-3.767528283i	178.307724242-3.174036364i	178.022695960-2.618831313i	177.651890909-2.179306061i	177.253644444-1.814765657i	176.918021212-1.481149495i	176.617061616-1.198326263i	176.369597980-0.917784848i	176.098286869-0.581903030i
183.595588889-22.077905051i	180.447028283-14.917301010i	176.472447475-11.970466667i	173.636903030-7.030262626i	172.125739394-5.528635354i	171.319195960-4.427613131i	170.858841414-3.660007071i	170.274117172-3.087646465i	169.954065657-2.512579798i	169.603606061-2.102684848i	169.198815152-1.756833333i	168.913950505-1.446181818i	168.616860606-1.207136364i	168.368968687-0.912222222i	168.108971717-0.569207071i
177.097925253-21.686282828i	174.126390909-14.633065657i	170.138416162-11.732933333i	167.412696970-6.864627273i	165.915011111-5.430472727i	165.147627273-4.357158586i	164.683723232-3.579355556i	164.089379798-3.026122222i	163.804595960-2.491160606i	163.445042424-2.073066667i	163.071357576-1.659167677i	162.758269697-1.445588889i	162.476757576-1.130164646i	162.195781818-0.869394949i	161.989730303-0.550606061i
