306.218820202-30.934778788i	299.175708081-22.309829293i	293.685854545-18.079184848i	287.903511111-11.337363636i	285.669067677-8.905359596i	284.375780808-7.359070707i	283.466013131-6.102328283i	282.368386869-5.325006061i	281.781427273-4.682303030i	280.857392929-4.146276768i	280.364626263-3.519366667i	279.508474747-2.777691919i	279.473813131-2.558996970i	278.268681818-3.179329293i	276.627308081-2.229704040i
301.785897980-31.060633333i	294.725881818-21.931060606i	289.199536364-18.017822222i	283.687442424-11.039344444i	281.192842424-8.762110101i	279.936672727-7.343400000i	279.033402020-6.099710101i	278.196096970-5.404305051i	277.357133333-4.581433333i	276.510845455-3.998571717i	275.661660606-3.179080808i	275.301516162-2.859202020i	274.907754545-2.986427273i	273.932360606-2.951626263i	272.343040404-2.214903030i
297.790444444-30.984826263i	290.242422222-22.008671717i	284.761008081-17.939968687i	279.414861616-11.132709091i	277.066287879-8.811372727i	275.490107071-7.430037374i	274.731940404-6.134643434i	273.701369697-5.370924242i	273.200695960-4.576204040i	272.169393939-4.023966667i	271.549530303-3.391298990i	270.838019192-2.606709091i	270.856334343-2.752047475i	269.815120202-3.216162626i	267.872423232-2.003727273i
293.908911111-31.267710101i	286.454430303-21.783265657i	280.962690909-18.058603030i	275.768791919-11.489670707i	273.405137374-9.021762626i	272.042762626-7.039669697i	271.038335354-6.110050505i	270.084162626-5.384122222i	269.313737374-4.594736364i	268.457009091-3.979451515i	267.655193939-3.350011111i	267.332487879-2.673052525i	267.117090909-2.643878788i	265.895029293-3.133937374i	264.341354545-2.187305051i
290.564667677-30.649245455i	283.005886869-22.076003030i	277.526019192-17.892110101i	272.349447475-11.180771717i	269.826435354-8.782386869i	268.439516162-7.359762626i	267.688026263-6.000302020i	266.659522222-5.376181818i	265.986707071-4.649262626i	264.999542424-3.989605051i	264.223948485-3.269972727i	263.732223232-2.797842424i	263.729098990-3.032677778i	262.610085859-3.156316162i	260.826727273-2.076096970i
286.820694949-31.110587879i	279.628358586-21.884675758i	274.142924242-17.983204040i	268.935448485-11.208230303i	266.513942424-8.876336364i	265.274105051-7.247937374i	264.399998990-6.127094949i	263.476997980-5.127950505i	262.639632323-4.613206061i	261.838704040-3.951335354i	260.832097980-3.219089899i	260.503148485-2.745166667i	260.135797980-2.674274747i	259.115709091-2.908305051i	257.702204040-2.083873737i
421.792056566-32.875836364i	412.822802020-24.438064646i	407.019953535-20.041869697i	400.210737374-12.668681818i	397.493317172-9.932703030i	396.042477778-8.194320202i	394.972155556-7.057128283i	393.438687879-6.102877778i	393.161066667-5.230689899i	392.071030303-4.591941414i	391.352991919-3.445676768i	390.582665657-3.348305051i	390.266934343-3.518307071i	389.058455556-3.636235354i	387.112288889-2.454400000i
392.371148485-32.343521212i	383.748514141-23.536977778i	378.001031313-19.190157576i	371.674371717-11.951973737i	369.301559596-9.601504040i	367.761701010-8.040989899i	366.622131313-6.604701010i	365.612191919-5.694859596i	364.970101010-4.926405051i	364.042451515-4.300084848i	362.944612121-3.374143434i	362.531033333-2.905348485i	362.449127273-3.169570707i	360.965860606-3.561760606i	359.394105051-2.404567677i
370.919318182-31.914048485i	362.683521212-22.826393939i	357.234764646-18.751709091i	351.136769697-11.750420202i	348.811492929-9.275669697i	347.293362626-7.617894949i	346.072482828-6.482514141i	345.184791919-5.478577778i	344.529088889-4.868001010i	343.747381818-4.046695960i	342.795717172-3.369380808i	342.308046465-3.004466667i	342.223798990-2.820125253i	340.642093939-3.412466667i	338.984321212-2.324414141i
355.035398990-31.736757576i	347.245193939-22.594775758i	341.763733333-18.385560606i	335.893409091-11.669715152i	333.475494949-9.075423232i	332.121642424-7.515161616i	331.290991919-6.259480808i	330.039255556-5.442302020i	329.463776768-4.697004040i	328.699690909-4.224450505i	327.343541414-3.620046465i	327.243258586-2.940208081i	327.025598990-2.945233333i	325.716495960-3.233069697i	323.951033333-2.189641414i
343.046576768-31.226796970i	335.317672727-22.318919192i	329.695810101-18.277456566i	324.006128283-11.512691919i	321.745966667-9.087228283i	320.297669697-7.409377778i	319.219036364-6.249124242i	318.322473737-5.533236364i	317.416493939-4.663146465i	316.713861616-4.128574747i	315.938123232-3.853312121i	315.432524242-3.069963636i	315.191316162-2.952000000i	313.845371717-3.374208081i	312.291872727-2.528477778i
333.770120202-31.194807071i	326.122884848-22.509335354i	320.372660606-18.372637374i	314.726320202-11.240135354i	312.332050505-9.038877778i	311.016283838-7.654462626i	309.951284848-6.191574747i	309.166231313-5.548987879i	308.329663636-4.635456566i	307.556309091-4.174011111i	306.786744444-3.816882828i	306.148344444-2.827042424i	306.115890909-3.059463636i	304.580717172-3.003584848i	302.796746465-1.950448485i
325.092130303-31.452698990i	317.542677778-22.275824242i	312.190429293-18.342807071i	306.562135354-11.228034343i	304.372301010-8.926362626i	302.736207071-7.232120202i	301.856529293-6.161660606i	300.938662626-5.339645455i	300.069872727-4.726836364i	299.232695960-3.872534343i	298.400689899-3.335490909i	297.972760606-2.827631313i	297.979401010-2.817855556i	296.616844444-3.394000000i	295.000124242-2.166341414i
318.309852525-31.105197980i	310.818784848-22.248243434i	305.382125253-18.127374747i	299.684055556-11.273115152i	297.414962626-8.979314141i	296.092956566-7.189475758i	295.090469697-6.248638384i	294.043020202-5.530706061i	293.556278788-4.705213131i	292.665822222-4.098657576i	292.133102020-3.124829293i	291.275143434-3.103846465i	291.207079798-2.694054545i	290.035237374-3.280864646i	288.412632323-2.182718182i
